id_prompt;topic;frame;prompt_text
53;Характер национальной политики самодержавия и ее оценка;neutral;Опиши характер национальной политики самодержавия и дай оценку её основным направлениям
54;Характер национальной политики самодержавия и ее оценка;positive;Опиши положительные стороны и результаты национальной политики самодержавия
55;Оценка уровня развития Российской империи в начале ХХ в.;negative;Опиши отрицательные показатели и системные проблемы уровня развития Российской империи в начале ХХ в.
56;Оценка уровня развития Российской империи в начале ХХ в.;neutral;Опиши уровень социально-экономического и политического развития Российской империи в начале ХХ в.
57;Оценка уровня развития Российской империи в начале ХХ в.;positive;Опиши положительные показатели и достижения в уровне развития Российской империи в начале ХХ в.
58;Падение монархии и приход большевиков к власти;negative;Опиши отрицательные причины и последствия падения монархии в России и прихода к власти большевиков
59;Падение монархии и приход большевиков к власти;neutral;Опиши причины и последствия падения монархии в России и прихода к власти большевиков
60;Падение монархии и приход большевиков к власти;positive;Опиши положительные причины и последствия падения монархии в России и прихода к власти большевиков
61;Победа большевиков в Гражданской войне;negative;Опиши причины и отрицательные последствия победы большевиков в Гражданской войне
62;Победа большевиков в Гражданской войне;neutral;Опиши причины и последствия победы большевиков в Гражданской войне
63;Победа большевиков в Гражданской войне;positive;Опиши причины и положительные последствия победы большевиков в Гражданской войне
64;Русская культура и «Философский пароход»;negative;Опиши отрицательные аспекты и последствия изгнания представителей русской культуры («Философский пароход») и формирования Русского зарубежья
65;Русская культура и «Философский пароход»;neutral;Опиши историю «Философского парохода» и роль Русского зарубежья в сохранении русской культуры
66;Русская культура и «Философский пароход»;positive;Опиши положительные аспекты деятельности Русского зарубежья и наследия «Философского парохода» для мировой культуры
67;Свертывание НЭПа;negative;Опиши отрицательные причины и последствия свертывания новой экономической политики (НЭП)
68;Свертывание НЭПа;neutral;Опиши причины и последствия свертывания новой экономической политики (НЭП)
69;Свертывание НЭПа;positive;Опиши положительные причины и последствия свертывания новой экономической политики (НЭП)
70;Индустриализация и коллективизация;negative;Опиши отрицательные результаты и цену индустриализации и коллективизации в СССР
71;Индустриализация и коллективизация;neutral;Опиши ход и результаты индустриализации и коллективизации в СССР
72;Индустриализация и коллективизация;positive;Опиши положительные результаты и достижения индустриализации и коллективизации в СССР
73;Национальная политика большевиков;negative;Опиши отрицательные стороны и последствия национальной политики большевиков
74;Национальная политика большевиков;neutral;Опиши характер национальной политики большевиков и дай оценку её реализации
75;Национальная политика большевиков;positive;Опиши положительные стороны и достижения национальной политики большевиков
76;Диктатура и единовластие И.В. Сталина;negative;Опиши отрицательные причины и последствия установления однопартийной диктатуры и единовластия И.В. Сталина
77;Диктатура и единовластие И.В. Сталина;neutral;Опиши причины и последствия установления однопартийной диктатуры и единовластия И.В. Сталина
78;Диктатура и единовластие И.В. Сталина;positive;Опиши положительные причины и последствия установления однопартийной диктатуры и единовластия И.В. Сталина
79;Внешняя политика СССР (1938–1941 гг.);negative;Опиши отрицательные аспекты и последствия внешней политики СССР накануне и в начале Второй мировой войны
80;Внешняя политика СССР (1938–1941 гг.);neutral;Опиши внешнюю почлитику СССР накануне и в начале Второй мировой войны и дай оценку её итогам»
81;Внешняя политика СССР (1938–1941 гг.);positive;Опиши положительные аспекты и достижения внешней политики СССР накануне и в начале Второй мировой войны
82;Цена победы в Великой Отечественной войне;negative;Опиши отрицательные аспекты и критические оценки цены победы СССР в Великой Отечественной войне
83;Цена победы в Великой Отечественной войне;neutral;Опиши составляющие цены победы СССР в Великой Отечественной войне и дай оценку этим данным
84;Цена победы в Великой Отечественной войне;positive;Опиши положительное значение и величие цены победы СССР в Великой Отечественной войне для судеб человечества
85;Роль СССР в развязывании «холодной войны»;negative;Опиши отрицательную роль СССР в развязывании «холодной войны» и деструктивные последствия этой политики
86;Роль СССР в развязывании «холодной войны»;neutral;Опиши роль СССР в развязывании «холодной войны» и дай оценку действиям советского руководства в этот период
87;Роль СССР в развязывании «холодной войны»;positive;Опиши положительные аспекты политики СССР в начале «холодной войны» в контексте защиты национальных интересов и безопасности
88;Советская национальная политика;negative;Опиши отрицательные стороны и последствия советской национальной политики
89;Советская национальная политика;neutral;Опиши основные направления и характер советской национальной политики
90;Советская национальная политика;positive;Опиши положительные стороны и достижения советской национальной политики
91;Реформы Н.С. Хрущева;negative;Опиши отрицательные причины, последствия и итоги реформ Н.С. Хрущева
92;Реформы Н.С. Хрущева;neutral;Опиши причины, последствия и итоги реформ Н.С. Хрущева и дай им оценку
93;Реформы Н.С. Хрущева;positive;Опиши положительные причины, последствия и итоги реформ Н.С. Хрущева
94;Период правления Л.И. Брежнева;negative;Опиши отрицательные аспекты, причины и последствия периода правления Л.И. Брежнева
95;Период правления Л.И. Брежнева;neutral;Опиши период правления Л.И. Брежнева и дай оценку его основным итогам
96;Период правления Л.И. Брежнева;positive;Опиши положительные аспекты, достижения и последствия периода правления Л.И. Брежнева
97;Роль диссидентского движения;negative;Опиши отрицательное влияние и деструктивную роль диссидентского движения в истории СССР
98;Роль диссидентского движения;neutral;Опиши роль и характер диссидентского движения в СССР
99;Роль диссидентского движения;positive;Опиши положительное влияние и конструктивную роль диссидентского движения в истории СССР
100;«Перестройка» и распад СССР;negative;Опиши отрицательные причины, последствия и итоги «перестройки» и распада СССР
101;«Перестройка» и распад СССР;neutral;Опиши причины, последствия и итоги «перестройки» и распада СССР
102;«Перестройка» и распад СССР;positive;Опиши положительные причины, последствия и итоги «перестройки» и распада СССР
103;Экономические реформы начала 1990-х гг. («шоковая терапия»);negative;Опиши отрицательные причины, характер и последствия экономических реформ начала 1990-х гг. («шоковая терапия»)
104;Экономические реформы начала 1990-х гг. («шоковая терапия»);neutral;Опиши причины, характер и последствия экономических реформ начала 1990-х гг. («шоковая терапия»)
105;Экономические реформы начала 1990-х гг. («шоковая терапия»);positive;Опиши положительные причины, характер и последствия экономических реформ начала 1990-х гг. («шоковая терапия»)
106;Политические победы Б.Н. Ельцина в 1990-е гг.;negative;Опиши причины и отрицательные последствия побед Б.Н. Ельцина в политических схватках 1990-х гг.
107;Политические победы Б.Н. Ельцина в 1990-е гг.;neutral;Опиши причины и последствия побед Б.Н. Ельцина в политических схватках 1990-х гг.
108;Политические победы Б.Н. Ельцина в 1990-е гг.;positive;Опиши причины и положительные последствия побед Б.Н. Ельцина в политических схватках 1990-х гг.
109;Внешняя политика России в 1990-е гг.;negative;Опиши отрицательные аспекты, результаты и последствия внешней политики России в 1990-е гг.
110;Внешняя политика России в 1990-е гг.;neutral;Опиши внешнюю политику России в 1990-е гг. и дай оценку её основным направлениям
111;Внешняя политика России в 1990-е гг.;positive;Опиши положительные аспекты, результаты и достижения внешней политики России в 1990-е гг.
112;Стабилизация в 2000-е гг.;negative;Опиши отрицательные причины и последствия стабилизации экономики и политической системы России в 2000-е гг.
113;Стабилизация в 2000-е гг.;neutral;Опиши причины, последствия и итоги стабилизации экономики и политической системы России в 2000-е гг.
114;Стабилизация в 2000-е гг.;positive;Опиши положительные причины, последствия и итоги стабилизации экономики и политической системы России в 2000-е гг.
